<http://data.doremus.org/performance/a4e57097-cfb6-3578-96b0-bba916d2079e>;1032035.ttl;Week-end Let's Dance. Music for 18 musicians;14/03/2015;
;;;;
<http://data.doremus.org/performance/b246f03a-e689-3f93-89a1-5c6173c37844>;15941.ttl;Jeux de guerre, jeux de vilain;13/04/2016;Similarit̩ :0.47950000000000004
<http://data.doremus.org/performance/56139b05-eaf1-367a-9319-ebd29ffd2800>;1063945.ttl;Concert participatif en famille. Jeux de guerre, jeux de vilain;13/04/2016;
;;;;
<http://data.doremus.org/performance/8a91db9e-7ea8-33e0-971b-1980e137e8fd>;14117.ttl;Madrigaux amoureux;18/05/2015;Similarit̩ :0.6495
<http://data.doremus.org/performance/5a36546b-4039-353f-ac86-b5130a919bb4>;1033415.ttl;Madrigaux amoureux. Paul Agnew, Les Arts Florissants;18/05/2015;
;;;;
<http://data.doremus.org/performance/da687d5c-3ddd-3d34-8b20-e010cc0a1488>;15231.ttl;Avishai Cohen symphonique;26/02/2016;Similarit̩ :0.55
<http://data.doremus.org/performance/af7a9dd6-b79d-341a-bd2c-37426226c8a8>;1046044.ttl;An evening with Avishai Cohen, Avishai Cohen symphonique;26/02/2016;
;;;;
<http://data.doremus.org/performance/c6d645b0-187a-36a8-bed2-ed1bfafcfb6f>;13322.ttl;Quatuor Hagen;07/12/2013;Similarit̩ :0.4505
<http://data.doremus.org/performance/b1e18a68-6068-3c04-900f-8829c8feff1a>;1014916.ttl;Jean Cocteau : mon tour du monde;07/12/2013;
;;;;
